Gene	name2	Chr	Strand	fit_value	Predicted_Proximal_APA	Loci	A_1_long_exp	A_1_short_exp	A_1_PDUI	A_2_long_exp	A_2_short_exp	A_2_PDUI	A_3_long_exp	A_3_short_exp	A_3_PDUI	A_4_long_exp	A_4_short_exp	A_4_PDUI	A_5_long_exp	A_5_short_exp	A_5_PDUI	A_6_long_exp	A_6_short_exp	A_6_PDUI	A_7_long_exp	A_7_short_exp	A_7_PDUI	A_8_long_exp	A_8_short_exp	A_8_PDUI	A_9_long_exp	A_9_short_exp	A_9_PDUI	A_10_long_exp	A_10_short_exp	A_10_PDUI	A_11_long_exp	A_11_short_exp	A_11_PDUI	A_12_long_exp	A_12_short_exp	A_12_PDUI	A_13_long_exp	A_13_short_exp	A_13_PDUI	A_14_long_exp	A_14_short_exp	A_14_PDUI	A_15_long_exp	A_15_short_exp	A_15_PDUI	A_16_long_exp	A_16_short_exp	A_16_PDUI	A_17_long_exp	A_17_short_exp	A_17_PDUI	A_18_long_exp	A_18_short_exp	A_18_PDUI	B_1_long_exp	B_1_short_exp	B_1_PDUI	B_2_long_exp	B_2_short_exp	B_2_PDUI	B_3_long_exp	B_3_short_exp	B_3_PDUI	B_4_long_exp	B_4_short_exp	B_4_PDUI	B_5_long_exp	B_5_short_exp	B_5_PDUI	B_6_long_exp	B_6_short_exp	B_6_PDUI	B_7_long_exp	B_7_short_exp	B_7_PDUI	B_8_long_exp	B_8_short_exp	B_8_PDUI	B_9_long_exp	B_9_short_exp	B_9_PDUI	B_10_long_exp	B_10_short_exp	B_10_PDUI	Group_A_Mean_PDUI	Group_B_Mean_PDUI	PDUI_Group_diff	P_val	adjusted.P_val	Pass_Filter
XM_006502035.3	Elf2	chr3	-	1906.3	51256088	chr3:51255285-51256985	21.59	58.18	0.27	35.2	63.81	0.36	30.49	38.58	0.44	20.66	22.04	0.48	NA	NA	NA	207.62	359.39	0.37	115.58	187.69	0.38	40.09	77.08	0.34	106.93	144.34	0.43	62.2	92.06	0.4	137.05	294.71	0.32	137.28	255.33	0.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	68.24	124.22	0.35	12.33	18.99	0.39	203.57	377.88	0.35	19.6	33.14	0.37	123.67	150.87	0.45	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.37	36.89	0.42	116.3	142.29	0.45	34.86	63.99	0.35	98.6	176.76	0.36	80.67	137.02	0.37	0.373571429	0.395714286	-0.022142857	0.411665405	1	N
NM_001291063.1	Elf2	chr3	-	2083.6	51256072	chr3:51252720-51256985	8.54	70.38	0.11	14.93	83.51	0.15	10.59	57.91	0.15	7.6	34.9	0.18	NA	NA	NA	79.65	483.64	0.14	42.05	258.99	0.14	18.8	97.76	0.16	36.21	214.43	0.14	24.71	129.32	0.16	59.55	368.68	0.14	53.66	336.71	0.14	NA	NA	NA	NA	NA	NA	NA	NA	NA	27.21	164.41	0.14	4.91	26.21	0.16	74.75	502.52	0.13	8.23	44.15	0.16	39.56	233.31	0.14	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.68	53.17	0.15	40.68	217.31	0.16	14.12	84.14	0.14	36.33	237	0.13	29.96	186.54	0.14	0.145714286	0.145714286	0	1	1	N
NM_009834.2	Noct	chr3	+	1514	51250840	chr3:51249697-51251654	32.07	38.01	0.46	48.23	29.83	0.62	62.65	11.33	0.85	37.84	28.19	0.57	NA	NA	NA	348.33	138.62	0.72	189.99	103.18	0.65	49.44	37.55	0.57	118.72	35.84	0.77	110.31	52.15	0.68	249.46	155.3	0.62	281.01	113.5	0.71	NA	NA	NA	NA	NA	NA	NA	NA	NA	123.13	49.55	0.71	27.53	15.27	0.64	220.07	131.55	0.63	36.16	35.89	0.5	297.17	105.57	0.74	NA	NA	NA	26.43	8.96	0.75	NA	NA	NA	61.22	39.8	0.61	80.73	46.69	0.63	49.76	36.95	0.57	191.23	103.55	0.65	116.03	70.04	0.62	0.657142857	0.63375	0.023392857	0.911253372	1	N
XM_006500956.1	Noct	chr3	+	1457.7	51250842	chr3:51249697-51251633	31.51	38.51	0.45	47.53	30.48	0.61	61.57	12.42	0.83	36.5	29.5	0.55	NA	NA	NA	340.55	146.5	0.7	182.8	110.29	0.62	48.15	38.78	0.55	113.6	40.94	0.74	108.37	54.09	0.67	244.88	159.69	0.61	275.89	118.53	0.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	118.46	54.23	0.69	26.62	16.16	0.62	216.33	135.12	0.62	34.69	37.31	0.48	289.27	113.31	0.72	NA	NA	NA	25.74	9.63	0.73	NA	NA	NA	60.02	40.95	0.59	78.83	48.51	0.62	48.99	37.67	0.57	185.85	108.76	0.63	113.06	72.91	0.61	0.64	0.61875	0.02125	0.826088383	1	N
NM_027558.1	Pgrmc2	chr3	-	8078.4	41067558	chr3:41066326-41068724	29.63	110.9	0.21	55.4	217.25	0.2	37	139.61	0.21	27.48	97.32	0.22	11.84	42.59	0.22	425.66	1190.84	0.26	247.04	679.65	0.27	55.23	229.62	0.19	109.22	451.98	0.19	69.82	290.56	0.19	189.01	639.49	0.23	193.78	684.1	0.22	11.83	46.15	0.2	NA	NA	NA	NA	NA	NA	115.13	373.66	0.24	15.08	58.41	0.21	278.13	982.63	0.22	19.61	77.04	0.2	107.76	448.9	0.19	NA	NA	NA	12.4	41.1	0.23	8.65	27.28	0.24	35.79	108.75	0.25	58.8	282.75	0.17	44.6	149.38	0.23	85.15	324.84	0.21	64	244.34	0.21	0.2175	0.214444444	0.003055556	0.448172293	1	N
XM_017319524.1	Larp1b	chr3	+	553.7	40977602	chr3:40977208-40978805	7.84	33.08	0.19	20.94	65.85	0.24	13.45	43.79	0.23	11.99	36.57	0.25	NA	NA	NA	151.77	310.04	0.33	101.75	202.7	0.33	25.4	63.76	0.28	39.79	122.39	0.25	23.97	86.07	0.22	54.71	201.38	0.21	69.26	225.48	0.23	NA	NA	NA	NA	NA	NA	NA	NA	NA	31.58	98.77	0.24	NA	NA	NA	79.7	290.22	0.22	10.82	28.11	0.28	47.26	180.71	0.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.92	44.94	0.3	24.4	84.19	0.22	16.36	52.34	0.24	34.52	95.79	0.26	31.36	89.37	0.26	0.247692308	0.252857143	-0.005164835	0.780923156	1	N
NM_001040399.1	Larp1b	chr3	+	636.1	40977563	chr3:40977208-40977793	11.94	31.27	0.28	51.63	37.38	0.58	42.5	14.57	0.74	33.17	16.29	0.67	NA	NA	NA	324.32	138.18	0.7	179.12	137.63	0.57	53.66	38.63	0.58	94.89	72.48	0.57	67.05	46.53	0.59	146.78	118.37	0.55	194.6	103.18	0.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	75.89	58.94	0.56	NA	NA	NA	163.8	221.49	0.43	30.55	8.14	0.79	119.02	114.59	0.51	NA	NA	NA	NA	NA	NA	NA	NA	NA	33.82	32.48	0.51	55.55	57.97	0.49	48.31	22.18	0.69	77.44	58.48	0.57	77.25	45.7	0.63	0.574615385	0.598571429	-0.023956044	0.810035247	1	N
XM_006500766.3	Hspa4l	chr3	+	483.1	40790287	chr3:40789201-40796103	4.67	27.78	0.14	8.13	48.63	0.14	8.2	33.98	0.19	NA	NA	NA	NA	NA	NA	41.06	238.99	0.15	26.63	132.31	0.17	10.05	51.73	0.16	36.74	164.83	0.18	22.35	117.78	0.16	36.25	204.37	0.15	39.02	201.7	0.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.31	103.14	0.19	NA	NA	NA	49.07	255.42	0.16	NA	NA	NA	26.09	135.6	0.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.31	59.53	0.19	8.07	33.88	0.19	17.75	70.92	0.2	9.68	47.06	0.17	0.1625	0.182	-0.0195	0.719645983	1	N
XM_006500767.3	Hspa4l	chr3	+	904.9	40789402	chr3:40789201-40790456	27.12	32.91	0.45	53.81	24.58	0.69	38.35	25.13	0.6	25.56	19.99	0.56	NA	NA	NA	256.34	177.6	0.59	141.94	101.6	0.58	56.3	40.62	0.58	185.38	103.1	0.64	125.99	77.94	0.62	215.25	156.62	0.58	221.32	121.82	0.64	NA	NA	NA	NA	NA	NA	NA	NA	NA	111.45	99.24	0.53	NA	NA	NA	272.03	191.89	0.59	27.15	12.12	0.69	153.42	56.63	0.73	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.28	15.43	0.63	66.69	52.7	0.56	41.32	9.86	0.81	86.78	30.43	0.74	52.4	33.99	0.61	0.588461538	0.681428571	-0.092967033	0.165486589	0.783499694	N
NM_011020.3	Hspa4l	chr3	+	893.3	40789402	chr3:40789201-40790365	26.42	33.62	0.44	55.39	22.99	0.71	38.76	24.72	0.61	26.77	18.78	0.59	NA	NA	NA	263.41	170.54	0.61	144.83	98.71	0.59	57.79	39.13	0.6	189.08	99.4	0.66	129.9	74.03	0.64	225.47	146.4	0.61	225.53	117.61	0.66	NA	NA	NA	NA	NA	NA	NA	NA	NA	115.75	94.93	0.55	NA	NA	NA	272.28	191.65	0.59	27.64	11.62	0.7	155.78	54.27	0.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	27.27	14.44	0.65	69.31	50.08	0.58	42.63	8.56	0.83	87.06	30.15	0.74	54.04	32.35	0.63	0.604615385	0.695714286	-0.091098901	0.126655064	0.695170665	N
NM_198657.2	Gm5148	chr3	-	469176.8	37714759	chr3:37714190-37715135	7.3	425.67	0.02	9.78	640.98	0.02	4.75	439.65	0.01	5.38	370.16	0.01	3.11	189.92	0.02	71.09	3678.83	0.02	23.62	2081.42	0.01	8.76	755.19	0.01	22.76	1406.97	0.02	18.15	858.6	0.02	38.58	2131.54	0.02	36.94	1993.97	0.02	2.36	182.77	0.01	1.35	88.65	0.01	1.29	95.73	0.01	16.48	1324.03	0.01	2.78	244.72	0.01	41.14	3150.5	0.01	5.93	458.59	0.01	30.6	2525.13	0.01	1.85	150.72	0.01	2.76	185.35	0.01	2.19	151.67	0.01	6.05	461.15	0.01	47.11	3512.87	0.01	16.58	988.11	0.02	31.93	2775.53	0.01	35.12	2655.46	0.01	0.014444444	0.011	0.003444444	0.732626743	1	N
NM_009673.2	Anxa5	chr3	-	8885	36449187	chr3:36448923-36449406	175.44	150.7	0.54	283.41	180.35	0.61	262.68	108.7	0.71	161.93	87.28	0.65	69.15	26.94	0.72	1824.38	680.39	0.73	999.53	526.81	0.65	321.11	210.75	0.6	743.18	322.15	0.7	477.05	172.26	0.73	1150.33	766.13	0.6	1085.26	523.96	0.67	80.4	36.76	0.69	18.89	25.23	0.43	29.75	19.39	0.61	851	325.18	0.72	127.64	49.72	0.72	1553.5	936.29	0.62	175.93	171.37	0.51	956.02	410.52	0.7	50.65	16.44	0.76	86.25	14.04	0.86	48.86	21.85	0.69	197.65	119.84	0.62	710.33	316.84	0.69	298.28	216.83	0.58	816.07	376.62	0.68	610.17	284.06	0.68	0.65	0.677	-0.027	0.820400494	1	N
NM_001286972.1	Dnajc19	chr3	-	110.7	34078644	chr3:34077350-34078845	41.59	6.77	0.86	95.07	6.5	0.94	67.35	4.24	0.94	32.77	1.85	0.95	NA	NA	NA	431.75	20.53	0.95	228.83	14.46	0.94	67.91	8.43	0.89	173.71	30.51	0.85	126.23	7.44	0.94	218.72	44.19	0.83	194.85	16.33	0.92	NA	NA	NA	NA	NA	NA	NA	NA	NA	222.93	6.82	0.97	NA	NA	NA	434.52	31.34	0.93	27.71	2.37	0.92	161.36	21.52	0.88	NA	NA	NA	NA	NA	NA	NA	NA	NA	53.15	3.54	0.94	234.68	17.65	0.93	70.96	8.46	0.89	215.14	13.7	0.94	168.3	17.16	0.91	0.916153846	0.915714286	0.00043956	0.84274388	1	N
XM_006535401.1	Fxr1	chr3	+	3651.9	34069250	chr3:34068917-34069980	26.68	50.89	0.34	50.36	86.86	0.37	42.96	72.77	0.37	23.83	59.8	0.28	10.11	22.74	0.31	324.7	634.92	0.34	172.51	288.42	0.37	45.14	124.6	0.27	158.78	264.39	0.38	102.28	161.1	0.39	155.05	364.84	0.3	192.71	336.4	0.36	15.22	22.67	0.4	NA	NA	NA	NA	NA	NA	109.01	196.7	0.36	17.83	38.35	0.32	241.67	462.04	0.34	18.67	50.49	0.27	140.62	350.84	0.29	NA	NA	NA	11.27	28.96	0.28	NA	NA	NA	31.54	51.09	0.38	129.44	219.03	0.37	52.66	90.4	0.37	129.67	245.27	0.35	94.71	179.9	0.34	0.34375	0.33125	0.0125	0.853266357	1	N
NM_008053.2	Fxr1	chr3	+	3095.7	34069118	chr3:34068917-34069345	64.23	21.25	0.75	92.6	73.77	0.56	88.5	44.61	0.66	64.01	32.43	0.66	27.82	8.06	0.78	805.14	246.5	0.77	309.04	250.31	0.55	131.66	61.28	0.68	325.87	158.66	0.67	211.7	84.69	0.71	371.33	243.13	0.6	451.31	126.21	0.78	29.43	13.78	0.68	NA	NA	NA	NA	NA	NA	249.96	89.07	0.74	40.69	25.45	0.62	593.07	181.04	0.77	54.12	24.29	0.69	403.56	143.7	0.74	NA	NA	NA	31.45	14.16	0.69	NA	NA	NA	62.36	33.32	0.65	318.94	46.98	0.87	137.32	8.05	0.94	304.4	113.92	0.73	251.12	36.68	0.87	0.68625	0.7725	-0.08625	0.017683435	0.212277283	N
XM_017319456.1	Fxr1	chr3	+	3074.9	34069118	chr3:34068917-34069340	64.92	20.57	0.76	92.84	73.53	0.56	88.96	44.15	0.67	64.13	32.3	0.67	28.03	7.85	0.78	813.05	238.59	0.77	310.45	248.9	0.56	133.13	59.82	0.69	328.11	156.41	0.68	212.48	83.92	0.72	374.12	240.35	0.61	453.74	123.77	0.79	29.64	13.57	0.69	NA	NA	NA	NA	NA	NA	252.45	86.58	0.74	40.89	25.25	0.62	595.13	178.98	0.77	54.61	23.79	0.7	405.31	141.95	0.74	NA	NA	NA	31.76	13.85	0.7	NA	NA	NA	62.63	33.04	0.65	320.68	45.24	0.88	138.34	7.04	0.95	306.87	111.45	0.73	252.82	34.97	0.88	0.6925	0.77875	-0.08625	0.017136893	0.207052243	N
NM_001026211.2	Dnajc19	chr3	-	400.9	34057913	chr3:34057280-34058114	93.04	5.74	0.94	167.07	0.52	1	99.5	12.32	0.89	90.03	3.82	0.96	36.9	0.85	0.98	1082.54	0	1	623.91	0	1	204.51	0	1	452.86	33.93	0.93	301.3	0	1	534.23	34.16	0.94	518.19	3.98	0.99	38.59	0.43	0.99	NA	NA	NA	NA	NA	NA	343.63	0	1	55.93	2.51	0.96	721.31	69.59	0.91	68.24	6.63	0.91	517.47	17.82	0.97	NA	NA	NA	36.37	0	1	NA	NA	NA	101.08	3.46	0.97	329.12	11.68	0.97	155.33	8.92	0.95	337.56	18.9	0.95	276.84	32.86	0.89	0.968125	0.95125	0.016875	0.192808832	0.840170882	N
XM_011249688.2	Pex5l	chr3	-	2785.4	32950075	chr3:32949631-32950873	43.67	41.69	0.51	56.76	68.65	0.45	42.21	46.65	0.48	45.79	30.18	0.6	19.69	14.38	0.58	415.05	503.64	0.45	272.08	282.64	0.49	67.56	91.1	0.43	150.72	218.25	0.41	180.04	145.52	0.55	276.59	402.21	0.41	341.61	376.51	0.48	13.63	17.47	0.44	NA	NA	NA	NA	NA	NA	190.37	120.1	0.61	23.91	18.27	0.57	418.59	505.68	0.45	23.31	25.56	0.48	114	102.69	0.53	NA	NA	NA	NA	NA	NA	NA	NA	NA	30.41	30.34	0.5	40.83	35.17	0.54	30.24	36.61	0.45	62.79	73.29	0.46	35.38	50.23	0.41	0.494375	0.481428571	0.012946429	0.731680673	1	N
NM_001310460.1	Pex5l	chr3	-	1911.6	32950059	chr3:32947926-32950873	30.88	54.11	0.36	35.48	89.12	0.28	35.97	52.38	0.41	35.95	39.45	0.48	15.88	17.98	0.47	221.32	693.04	0.24	170.07	382.15	0.31	49.28	108.24	0.31	124.45	241.3	0.34	124.53	199.11	0.38	189.23	484.75	0.28	267.43	444.74	0.38	11.47	19.32	0.37	NA	NA	NA	NA	NA	NA	156.23	152.72	0.51	17.35	24.6	0.41	306.56	611.25	0.33	22.46	26.18	0.46	99.6	115.25	0.46	NA	NA	NA	NA	NA	NA	NA	NA	NA	27.49	32.87	0.46	29.22	46.27	0.39	22.82	43.54	0.34	53.28	81.89	0.39	24.52	60.5	0.29	0.36625	0.398571429	-0.032321429	0.226820168	0.909561911	N
NM_025316.2	Ndufb5	chr3	+	10523.3	32751230	chr3:32751029-32751559	20.9	52.59	0.28	30.05	96.82	0.24	28.73	67.71	0.3	13.58	46.09	0.23	4.85	26.58	0.15	153.83	467.33	0.25	101.89	312.44	0.25	28.07	114.97	0.2	70.52	236.67	0.23	49.36	110.39	0.31	86.22	424.77	0.17	71.65	365.91	0.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	54.62	195.81	0.22	10.58	37.48	0.22	143.37	460.33	0.24	11.61	45.93	0.2	79.54	229.27	0.26	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.58	52.17	0.23	47.54	259.86	0.15	26.3	111.18	0.19	63.52	230.05	0.22	40.4	194.33	0.17	0.23	0.202857143	0.027142857	0.645086416	1	N
NM_028231.2	Kcnmb2	chr3	+	6425.6	32199439	chr3:32198075-32200180	38.25	56.47	0.4	50.66	101.14	0.33	47.87	89.63	0.35	40.05	47.47	0.46	14.13	20.28	0.41	437.12	423.86	0.51	239.1	281.41	0.46	72.41	109.81	0.4	215.53	228.07	0.49	129.74	113.21	0.53	229.35	350.59	0.4	271.88	346.88	0.44	19.27	21.02	0.48	NA	NA	NA	NA	NA	NA	203.26	259.47	0.44	30.6	36.09	0.46	359.94	515.23	0.41	19.81	38.8	0.34	137.78	158.83	0.46	NA	NA	NA	NA	NA	NA	NA	NA	NA	36.99	55.53	0.4	50.01	45.04	0.53	42.96	59.93	0.42	89.64	133.39	0.4	31.23	50.48	0.38	0.435625	0.418571429	0.017053571	0.837510499	1	N
XM_006535550.1	Kcnmb2	chr3	+	4576.6	32198294	chr3:32198075-32199767	89.15	36.82	0.71	141.88	63.83	0.69	131.21	40.76	0.76	81.81	37.25	0.69	32.23	14.06	0.7	813.76	295.33	0.73	485.86	223.18	0.69	169.05	86.19	0.66	429.54	90.86	0.83	234.65	53.71	0.81	535.71	283.62	0.65	576.46	269.46	0.68	38.16	13.53	0.74	NA	NA	NA	NA	NA	NA	442.84	130.72	0.77	61.64	32.31	0.66	806	444.81	0.64	53.53	32.87	0.62	279.77	107.92	0.72	NA	NA	NA	25.68	16.91	0.6	NA	NA	NA	86.07	40.72	0.68	86.34	57.15	0.6	93.37	58.92	0.61	204.65	118.12	0.63	73.27	53.9	0.58	0.713125	0.63	0.083125	0.207582682	0.876495108	N
XM_006535472.3	Slc7a14	chr3	-	8214.5	31208662	chr3:31202896-31209398	94.62	10.33	0.9	139.42	27.2	0.84	108.38	13.15	0.89	66.85	12.78	0.84	NA	NA	NA	950.76	163.6	0.85	629.31	70.99	0.9	165.71	40.31	0.8	406.38	25.42	0.94	261.79	25.8	0.91	677.18	142.62	0.83	648.48	85.97	0.88	37.49	2.97	0.93	NA	NA	NA	NA	NA	NA	369.56	52.63	0.88	52.22	8.93	0.85	1048.16	120.81	0.9	51.43	8.31	0.86	238.55	52.36	0.82	NA	NA	NA	24.6	5.87	0.81	NA	NA	NA	56.97	9.86	0.85	150.65	1.63	0.99	101.52	13.24	0.88	203.99	35.18	0.85	143.8	20.24	0.88	0.876	0.8675	0.0085	0.882763973	1	N
NM_172861.3	Slc7a14	chr3	-	8174.4	31208662	chr3:31202854-31209398	94.88	10.07	0.9	139.53	27.08	0.84	108.49	13.05	0.89	66.82	12.81	0.84	NA	NA	NA	950.48	163.88	0.85	630.02	70.28	0.9	165.75	40.27	0.8	405.94	25.87	0.94	261.34	26.26	0.91	677.54	142.25	0.83	648.19	86.26	0.88	37.46	3	0.93	NA	NA	NA	NA	NA	NA	369.34	52.84	0.87	52.26	8.88	0.85	1048.89	120.08	0.9	51.56	8.17	0.86	238.55	52.37	0.82	NA	NA	NA	24.57	5.91	0.81	NA	NA	NA	56.95	9.88	0.85	150.72	1.56	0.99	101.6	13.15	0.89	203.97	35.2	0.85	143.64	20.39	0.88	0.875333333	0.86875	0.006583333	0.882763973	1	N
NM_001271772.1	Skil	chr3	+	2271.9	31121618	chr3:31118455-31122923	16.54	29.2	0.36	31.43	39.29	0.44	36.74	17.67	0.68	16.82	24.84	0.4	NA	NA	NA	202.8	316.28	0.39	114.98	215.77	0.35	47.49	48.49	0.49	45.15	25.86	0.64	37.53	28.99	0.56	64.32	83.32	0.44	104.25	130.3	0.44	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.58	46.2	0.49	NA	NA	NA	81.08	135.04	0.38	NA	NA	NA	67.18	80.91	0.45	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.58	24.97	0.45	78.75	80.4	0.49	22.37	17.63	0.56	68.71	42.54	0.62	54.65	63.47	0.46	0.466153846	0.505	-0.038846154	0.248264508	0.940410362	N
XM_006535427.3	Skil	chr3	+	2211.2	31118656	chr3:31118455-31122577	42.31	33.03	0.56	65.01	60.68	0.52	52.56	18.51	0.74	39.46	18.58	0.68	NA	NA	NA	485.72	335.05	0.59	310.36	185.06	0.63	88.65	81.87	0.52	65.21	67.42	0.49	62.73	33.28	0.65	136.96	117.84	0.54	222.37	106.77	0.68	NA	NA	NA	NA	NA	NA	NA	NA	NA	83.44	68.46	0.55	NA	NA	NA	200.49	164.38	0.55	16.5	17.36	0.49	137.24	110.02	0.56	NA	NA	NA	NA	NA	NA	NA	NA	NA	42.12	33.83	0.55	150.57	81.98	0.65	37.07	28.18	0.57	102.85	103.54	0.5	108.82	103.29	0.51	0.592307692	0.547142857	0.045164835	0.531385227	1	N
XM_006535534.3	Sec62	chr3	+	17183.1	30820001	chr3:30819576-30820386	18.46	124.26	0.13	33.2	188.82	0.15	33.85	139.02	0.2	17.36	98.09	0.15	9.07	41.38	0.18	228.26	1087.84	0.17	105.7	529.25	0.17	32.69	184.64	0.15	94.09	455.99	0.17	51.36	329.89	0.13	124.31	661.76	0.16	153.72	665.14	0.19	13.27	51.07	0.21	NA	NA	NA	NA	NA	NA	71.42	379.21	0.16	15.06	71.45	0.17	177.06	907.28	0.16	18.06	77.31	0.19	92.69	395.83	0.19	5.35	26.65	0.17	9.07	42.78	0.17	5.03	33.2	0.13	17.99	106.04	0.15	54.48	265.87	0.17	25.69	133.23	0.16	44.6	279.99	0.14	34.22	223.59	0.13	0.165625	0.16	0.005625	0.90672615	1	N
NM_027016.2	Sec62	chr3	+	50185.1	30819643	chr3:30818500-30821263	47.74	203.22	0.19	79.87	315.05	0.2	61.17	233.41	0.21	41.62	166.31	0.2	18.32	72.75	0.2	492.53	1847.05	0.21	228.32	1043.37	0.18	75.2	308.49	0.2	221.1	682.51	0.24	138.16	505.51	0.21	287.95	1177.46	0.2	307.04	1090.25	0.22	24.42	86.75	0.22	7.91	36.75	0.18	10.94	37.4	0.23	169.65	598.27	0.22	32.33	115.19	0.22	385.68	1660.34	0.19	35.11	148.18	0.19	179.42	740.33	0.2	12.31	39.61	0.24	19.25	78.84	0.2	12.77	64.7	0.16	44.25	212.32	0.17	114.48	416.34	0.22	59.58	212.95	0.22	116.81	511.63	0.19	89.83	431.68	0.17	0.206666667	0.196	0.010666667	0.68476593	1	N
NM_031197.2	Slc2a2	chr3	+	118057.6	28727522	chr3:28727276-28728361	377.61	132.31	0.74	799.23	302.69	0.73	660.37	113.4	0.85	357.09	135.97	0.72	142.62	56.39	0.72	4185.33	1163.27	0.78	2150.02	795.38	0.73	798.8	381.15	0.68	2330.32	633.68	0.79	1312.56	342.02	0.79	3249.06	1249.77	0.72	2941.25	860.37	0.77	210.63	57.69	0.78	52.77	25.35	0.68	81.25	23.3	0.78	2085.5	619.37	0.77	263.43	81.57	0.76	4470.95	1213.19	0.79	427.09	106.04	0.8	1913.48	406.25	0.82	114.19	25.87	0.82	245.22	69.22	0.78	96.04	44.53	0.68	607.1	185.32	0.77	527.14	149.99	0.78	799.63	139.74	0.85	1245.43	362.96	0.77	687.83	225.93	0.75	0.754444444	0.782	-0.027555556	0.074829171	0.53345649	N
XR_880704.1	Gm42193	chr3	+	0.3	27443799	chr3:27443598-27444111	32.6	0	1	82.43	0	1	44.42	0	1	38.12	0	1	NA	NA	NA	567.34	0	1	336.97	0	1	85.71	0	1	191.74	1.96	0.99	132.9	0	1	320.2	2.71	0.99	307.29	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	233.12	0	1	NA	NA	NA	609.72	0	1	32.77	0	1	161.65	0.06	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	36.54	0	1	99.67	0.4	1	82.91	0	1	154.53	0	1	175.3	0	1	0.998461538	1	-0.001538462	1	1	N
NM_029706.2	Cpb1	chr3	-	10126594.7	20249637	chr3:20249479-20249838	7881.07	11077.07	0.42	8608.72	10665.43	0.45	7025.21	7604.54	0.48	7503.14	8748.43	0.46	6542.75	7266.04	0.47	13708.05	18125.19	0.43	5347.93	6655.48	0.45	7658.52	9147.84	0.46	9936.94	9873.54	0.5	8230.82	9677.75	0.46	4944.91	6547.27	0.43	5654.74	6366.82	0.47	6569.87	6961.11	0.49	6746.25	7880.09	0.46	5939.62	7607.03	0.44	6542.76	6638.32	0.5	7167.24	8069.6	0.47	4652.84	5113.28	0.48	7100.67	9276.17	0.43	6610.26	7431.89	0.47	8389.74	8705.55	0.49	8340.7	8731.84	0.49	7829.56	9571.23	0.45	9303.51	10423.69	0.47	7448.31	8606.5	0.46	8652.84	9862.85	0.47	7588.25	8177.01	0.48	6465.74	7617.52	0.46	0.462222222	0.467	-0.004777778	0.10870364	0.640067215	N
NM_001253390.1	Mtfr1	chr3	+	781	19219487	chr3:19219038-19220817	28.45	14.47	0.66	53.46	23.09	0.7	37.65	7.7	0.83	27.16	5.36	0.84	NA	NA	NA	220.22	127.97	0.63	127.9	73.32	0.64	45.36	21.14	0.68	138.38	55.7	0.71	88.27	18.07	0.83	178.39	69.03	0.72	193.53	66.49	0.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	115.46	13.91	0.89	NA	NA	NA	250.93	160	0.61	17.57	17.01	0.51	91.83	80.08	0.53	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.44	18.86	0.51	70.51	35.84	0.66	37.86	18.23	0.67	76.6	48.93	0.61	51.28	49.7	0.51	0.729230769	0.571428571	0.157802198	0.072829688	0.527283166	N
XM_011249708.2	Mtfr1	chr3	+	779.4	19219487	chr3:19219038-19220811	28.46	14.45	0.66	53.56	22.98	0.7	37.73	7.62	0.83	27.25	5.27	0.84	NA	NA	NA	220.61	127.58	0.63	128.05	73.17	0.64	45.39	21.11	0.68	138.26	55.82	0.71	88.3	18.04	0.83	178.8	68.62	0.72	194.15	65.88	0.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	115.63	13.73	0.89	NA	NA	NA	251.22	159.71	0.61	17.57	17.01	0.51	91.89	80.02	0.53	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.49	18.8	0.51	70.54	35.81	0.66	37.9	18.19	0.68	76.65	48.89	0.61	51.43	49.55	0.51	0.73	0.572857143	0.157142857	0.072829688	0.527283166	N
